,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
5329,2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,118021,37.5
5330,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,2100,37.5
5331,1999,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,559,37.6
5332,2015,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4666,37.6
5333,2013,Cerebrovascular diseases (I60-I69),Stroke,Montana,480,37.6
5334,2015,Cerebrovascular diseases (I60-I69),Stroke,United States,140323,37.6
5335,2009,Cerebrovascular diseases (I60-I69),Stroke,Utah,738,37.6
5336,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,1928,37.6
5337,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,7407,37.6
5338,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,7227,37.6
5339,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,109277,37.6
5340,2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2609,37.6
5341,2001,Diabetes mellitus (E10-E14),Diabetes,West Virginia,802,37.7
5342,2012,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5337,37.7
5343,2008,Cerebrovascular diseases (I60-I69),Stroke,Minnesota,2199,37.7
5344,2005,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,497,37.7
5345,2009,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2501,37.7
5346,2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,4438,37.7
5347,2016,Alzheimer's disease (G30),Alzheimer's disease,Texas,9135,37.8
5348,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,204,37.8
5349,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,140,37.8
5350,1999,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1435,37.8
5351,2008,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,2096,37.8
5352,2006,Cerebrovascular diseases (I60-I69),Stroke,Florida,8925,37.8
5353,2016,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5658,37.8
5354,2015,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2540,37.8
5355,2011,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2306,37.8
5356,2016,Cerebrovascular diseases (I60-I69),Stroke,Oregon,1943,37.8
5357,2012,Cerebrovascular diseases (I60-I69),Stroke,Utah,809,37.8
5358,2011,Cerebrovascular diseases (I60-I69),Stroke,Utah,782,37.8
5359,2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1266,37.8
5360,2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1566,37.8
5361,2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,881,37.8
5362,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,240,37.8
5363,2004,Alzheimer's disease (G30),Alzheimer's disease,Washington,2233,37.9
5364,2013,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,197,37.9
5365,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,344,37.9
5366,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6202,37.9
5367,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2916,37.9
5368,2008,Cerebrovascular diseases (I60-I69),Stroke,Delaware,365,37.9
5369,2014,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4596,37.9
5370,2011,Cerebrovascular diseases (I60-I69),Stroke,Montana,460,37.9
5371,2002,Cerebrovascular diseases (I60-I69),Stroke,New York,7625,37.9
5372,2007,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,330,37.9
5373,2011,Cerebrovascular diseases (I60-I69),Stroke,United States,128932,37.9
5374,2014,Cerebrovascular diseases (I60-I69),Stroke,Utah,856,37.9
5375,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,5014,37.9
5376,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2341,37.9
5377,2016,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,11970,38.0
5378,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,11178,38.0
5379,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,2697,38.0
5380,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2474,38.0
5381,2010,Cerebrovascular diseases (I60-I69),Stroke,Iowa,1537,38.0
5382,2009,Cerebrovascular diseases (I60-I69),Stroke,Maine,647,38.0
5383,2014,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2469,38.0
5384,2013,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,418,38.0
5385,2007,Cerebrovascular diseases (I60-I69),Stroke,Vermont,269,38.0
5386,2015,Cerebrovascular diseases (I60-I69),Stroke,Virginia,3393,38.0
5387,2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,329,38.0
5388,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1054,38.0
5389,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,516,38.0
5390,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,3951,38.0
5391,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,696,38.0
5392,2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,120859,38.0
5393,2014,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2672,38.1
5394,2016,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5632,38.1
5395,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,4723,38.1
5396,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6664,38.1
5397,2007,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6077,38.1
5398,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,485,38.1
5399,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,603,38.1
5400,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,2969,38.1
5401,2010,Cerebrovascular diseases (I60-I69),Stroke,California,13662,38.1
5402,2013,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1320,38.1
5403,2006,Cerebrovascular diseases (I60-I69),Stroke,Massachusetts,2880,38.1
5404,2006,Cerebrovascular diseases (I60-I69),Stroke,Vermont,264,38.1
5405,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,511,38.1
5406,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,274,38.1
5407,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,112012,38.1
5408,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,234,38.1
5409,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2709,38.1
5410,2007,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2276,38.2
5411,2015,Alzheimer's disease (G30),Alzheimer's disease,Texas,8903,38.2
5412,2005,Alzheimer's disease (G30),Alzheimer's disease,Washington,2309,38.2
5413,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,1486,38.2
5414,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5544,38.2
5415,2013,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,331,38.2
5416,2004,Diabetes mellitus (E10-E14),Diabetes,West Virginia,840,38.2
5417,2012,Cerebrovascular diseases (I60-I69),Stroke,Delaware,404,38.2
5418,2015,Cerebrovascular diseases (I60-I69),Stroke,Hawaii,735,38.2
5419,2009,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,337,38.2
5420,2013,Cerebrovascular diseases (I60-I69),Stroke,Utah,836,38.2
5421,2006,Cerebrovascular diseases (I60-I69),Stroke,Utah,674,38.2
5422,2005,Cerebrovascular diseases (I60-I69),Stroke,Vermont,260,38.2
5423,2016,Cerebrovascular diseases (I60-I69),Stroke,Virginia,3502,38.2
5424,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1401,38.2
5425,2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,899,38.2
5426,2007,Chronic lower respiratory diseases (J40-J47),CLRD,California,12532,38.3
5427,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,306,38.3
5428,2016,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,426,38.3
5429,2007,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,2770,38.3
5430,2016,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2786,38.3
5431,2015,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,242,38.3
5432,2008,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,760,38.3
5433,2008,Cerebrovascular diseases (I60-I69),Stroke,Vermont,281,38.3
5434,2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3727,38.3
5435,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,574,38.3
5436,2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,2931,38.3
5437,2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2760,38.3
5438,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,11705,38.4
5439,2012,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,10585,38.4
5440,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,1615,38.4
5441,2016,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,252,38.4
5442,2015,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5709,38.4
5443,2007,Cerebrovascular diseases (I60-I69),Stroke,Minnesota,2193,38.4
5444,2010,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,806,38.4
5445,2015,Cerebrovascular diseases (I60-I69),Stroke,Utah,888,38.4
5446,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,219,38.4
5447,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,223,38.4
5448,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2395,38.4
5449,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2309,38.4
5450,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,553,38.4
5451,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,267,38.4
5452,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1397,38.4
5453,2010,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2440,38.5
5454,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,10279,38.5
5455,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,507,38.5
5456,2009,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2461,38.5
5457,2006,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2354,38.5
5458,2009,Cerebrovascular diseases (I60-I69),Stroke,California,13506,38.5
5459,2008,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,222,38.5
5460,2005,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3614,38.5
5461,2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2534,38.5
5462,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,710,38.5
5463,2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,10536,38.6
5464,2007,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,9357,38.6
5465,2012,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5313,38.6
5466,2000,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,295,38.6
5467,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,5978,38.6
5468,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,5845,38.6
5469,1999,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,335,38.6
5470,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,3112,38.6
5471,2007,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2399,38.6
5472,2011,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5372,38.6
5473,2016,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1363,38.6
5474,2015,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1364,38.6
5475,2011,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4442,38.6
5476,2013,Cerebrovascular diseases (I60-I69),Stroke,Virginia,3287,38.6
5477,2009,Cerebrovascular diseases (I60-I69),Stroke,Washington,2591,38.6
5478,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1089,38.6
5479,2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,781,38.6
5480,2005,Diabetes mellitus (E10-E14),Diabetes,Louisiana,1695,38.7
5481,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,730,38.7
5482,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,9410,38.7
5483,2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2826,38.7
5484,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,192,38.8
5485,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,1909,38.8
5486,2012,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6550,38.8
5487,2014,Cerebrovascular diseases (I60-I69),Stroke,Delaware,439,38.8
5488,2011,Cerebrovascular diseases (I60-I69),Stroke,Idaho,623,38.8
5489,2010,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2279,38.8
5490,2001,Cerebrovascular diseases (I60-I69),Stroke,New York,7706,38.8
5491,2015,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6987,38.8
5492,2014,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,439,38.8
5493,2016,Cerebrovascular diseases (I60-I69),Stroke,Utah,932,38.8
5494,2010,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,2609,38.8
5495,2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,374,38.8
5496,2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2499,38.8
5497,2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,285,38.8
5498,2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1469,38.8
5499,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,2765,38.9
5500,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,2745,38.9
5501,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2312,38.9
5502,2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2480,38.9
5503,2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,799,38.9
5504,2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,279,38.9
5505,2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,275,38.9
5506,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1444,38.9
5507,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,2159,38.9
5508,2009,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,366,39.0
5509,2002,Alzheimer's disease (G30),Alzheimer's disease,Washington,2195,39.0
5510,2000,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,1902,39.0
5511,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,495,39.0
5512,2016,Cerebrovascular diseases (I60-I69),Stroke,Alaska,196,39.0
5513,2007,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,220,39.0
5514,2009,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5258,39.0
5515,2014,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1363,39.0
5516,2016,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4874,39.0
5517,2007,Cerebrovascular diseases (I60-I69),Stroke,Montana,443,39.0
5518,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1519,39.0
5519,2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3731,39.0
5520,2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1025,39.0
5521,2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,527,39.0
5522,2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,9212,39.0
5523,2012,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,420,39.1
5524,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,8971,39.1
5525,2003,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,302,39.1
5526,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2299,39.1
5527,2006,Cerebrovascular diseases (I60-I69),Stroke,Colorado,1532,39.1
5528,2004,Cerebrovascular diseases (I60-I69),Stroke,Connecticut,1635,39.1
5529,2015,Cerebrovascular diseases (I60-I69),Stroke,Indiana,2959,39.1
5530,2008,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,396,39.1
5531,2010,Cerebrovascular diseases (I60-I69),Stroke,United States,129476,39.1
5532,2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,8736,39.1
5533,2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,2301,39.1
5534,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,298,39.1
5535,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,5200,39.1
5536,2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,127792,39.1
5537,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,126438,39.1
5538,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5631,39.2
5539,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,1971,39.2
5540,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6046,39.2
5541,2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,357,39.2
5542,2016,Alzheimer's disease (G30),Alzheimer's disease,Utah,904,39.3
5543,2006,Alzheimer's disease (G30),Alzheimer's disease,Washington,2470,39.3
5544,2013,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5532,39.3
5545,2016,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,684,39.3
5546,2013,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6716,39.3
5547,2005,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6149,39.3
5548,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6017,39.3
5549,2013,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,416,39.3
5550,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2846,39.3
5551,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2759,39.3
5552,2000,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,221,39.3
5553,2004,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,218,39.3
5554,2010,Cerebrovascular diseases (I60-I69),Stroke,Illinois,5349,39.3
5555,2006,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,739,39.3
5556,2010,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6701,39.3
5557,2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,1582,39.3
5558,2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2577,39.3
5559,2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2480,39.3
5560,2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1598,39.3
5561,2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,121902,39.3
5562,2012,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,460,39.4
5563,2010,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5231,39.4
5564,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,1944,39.4
5565,2013,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,2933,39.4
5566,2011,Cerebrovascular diseases (I60-I69),Stroke,Alaska,168,39.4
5567,2015,Cerebrovascular diseases (I60-I69),Stroke,Delaware,466,39.4
5568,2012,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1343,39.4
5569,2009,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2288,39.4
5570,2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,224,39.4
5571,2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,2385,39.4
5572,2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,5477,39.4
5573,2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,130557,39.4
5574,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,253,39.4
5575,2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2696,39.4
5576,2011,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2589,39.5
5577,2004,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,139,39.5
5578,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,4858,39.5
5579,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,4776,39.5
5580,2003,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,1986,39.5
5581,2001,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,1907,39.5
5582,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,526,39.5
5583,2016,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,10107,39.5
5584,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2615,39.5
5585,2002,Diabetes mellitus (E10-E14),Diabetes,West Virginia,846,39.5
5586,2007,Cerebrovascular diseases (I60-I69),Stroke,Colorado,1600,39.5
5587,2016,Cerebrovascular diseases (I60-I69),Stroke,Indiana,3040,39.5
5588,2010,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4474,39.5
5589,2009,Cerebrovascular diseases (I60-I69),Stroke,Montana,462,39.5
5590,2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2558,39.5
5591,2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,5299,39.5
5592,2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,117809,39.5
5593,2002,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,4827,39.6
5594,2011,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,342,39.6
5595,2001,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,308,39.6
5596,2009,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6432,39.6
5597,2009,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,3013,39.6
5598,1999,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,221,39.6
5599,2011,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,6825,39.6
5600,2009,Cerebrovascular diseases (I60-I69),Stroke,United States,128842,39.6
5601,2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,352,39.6
5602,2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1369,39.6
5603,2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,3429,39.6
5604,2000,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,4768,39.7
5605,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,6627,39.7
5606,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,3154,39.7
5607,2011,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1338,39.7
5608,2016,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2709,39.7
5609,2006,Cerebrovascular diseases (I60-I69),Stroke,Minnesota,2219,39.7
5610,2008,Cerebrovascular diseases (I60-I69),Stroke,Utah,748,39.7
5611,2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1369,39.7
5612,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,743,39.7
5613,2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,287,39.7
5614,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,8323,39.7
5615,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,7920,39.7
5616,2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,2303,39.7
5617,2009,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,511,39.8
5618,2005,Cerebrovascular diseases (I60-I69),Stroke,Massachusetts,2977,39.8
5619,2009,Cerebrovascular diseases (I60-I69),Stroke,Michigan,4435,39.8
5620,2007,Cerebrovascular diseases (I60-I69),Stroke,Nevada,850,39.8
5621,2004,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,522,39.8
5622,2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,792,39.8
5623,2008,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,2423,39.9
5624,2008,Chronic lower respiratory diseases (J40-J47),CLRD,California,13426,39.9
5625,2013,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,11379,39.9
5626,2011,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,5390,39.9
5627,2008,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,2538,39.9
5628,2004,Diabetes mellitus (E10-E14),Diabetes,Louisiana,1717,39.9
